timestamp,flow_rate,pressure,temperature,gas,label
2026-05-14 15:23:19,98.94,2.37,25.98,166,normal
2026-05-14 15:23:19,96.89,2.5,25.39,176,normal
2026-05-14 15:23:19,103.67,2.38,24.73,151,normal
2026-05-14 15:23:19,101.68,2.46,24.81,122,normal
2026-05-14 15:23:19,95.12,2.36,24.43,167,normal
2026-05-14 15:23:20,97.47,2.49,25.05,139,normal
2026-05-14 15:23:20,100.3,2.46,24.91,131,normal
2026-05-14 15:23:20,102.65,2.44,24.19,182,normal
2026-05-14 15:23:20,104.1,2.32,25.95,166,normal
2026-05-14 15:23:20,101.74,2.38,25.44,133,normal
2026-05-14 15:23:20,97.6,2.5,25.98,188,normal
2026-05-14 15:23:20,100.32,2.46,24.37,184,normal
2026-05-14 15:23:20,102.93,2.36,24.48,125,normal
2026-05-14 15:23:20,101.0,2.35,25.14,183,normal
2026-05-14 15:23:21,97.76,2.33,25.9,153,normal
2026-05-14 15:23:21,50.38,1.57,25.45,526,leak
2026-05-14 15:23:21,55.04,1.7,25.41,570,leak
2026-05-14 15:23:21,52.4,1.72,26.56,665,leak
2026-05-14 15:23:21,50.91,1.59,25.87,606,leak
2026-05-14 15:23:21,62.07,1.67,26.13,650,leak
2026-05-14 15:34:40,0,2.5,0,0,normal
2026-05-14 15:34:48,0,2.5,0,0,normal
2026-05-14 15:34:55,0,2.5,0,0,normal
2026-05-14 15:35:03,0,2.5,0,0,normal
2026-05-14 15:35:11,0,2.5,0,0,normal
2026-05-14 15:35:17,0,2.5,0,0,normal
2026-05-14 15:35:25,0,2.5,0,0,normal
2026-05-14 15:35:33,0,2.5,0,0,normal
2026-05-14 15:35:40,0,2.5,0,0,normal
2026-05-14 15:35:47,0,2.5,0,0,normal
2026-05-14 15:35:54,0,2.5,0,0,normal
2026-05-14 15:36:02,0,2.5,0,0,normal
2026-05-14 15:36:09,0,2.5,0,0,normal
2026-05-14 15:36:17,0,2.5,0,0,normal
2026-05-14 15:36:23,0,2.5,0,0,normal
2026-05-14 15:36:30,0,2.5,0,0,normal
2026-05-14 15:36:38,0,2.5,0,0,normal
2026-05-14 15:36:46,0,2.5,0,0,normal
2026-05-14 15:36:52,0,2.5,0,0,normal
2026-05-14 15:36:59,0,2.5,0,0,normal
2026-05-14 15:37:06,0,2.5,0,0,normal
2026-05-14 15:37:14,0,2.5,0,0,normal
2026-05-14 15:37:21,0,2.5,0,0,normal
2026-05-14 15:37:28,0,2.5,0,0,normal
2026-05-14 15:37:36,0,2.5,0,0,normal
2026-05-14 15:37:45,0,2.5,0,0,normal
2026-05-14 15:37:52,0,2.5,0,0,normal
2026-05-14 15:38:00,0,2.5,0,0,normal
2026-05-14 15:38:06,0,2.5,0,0,normal
2026-05-14 15:38:13,0,2.5,0,0,normal
2026-05-14 15:38:20,0,2.5,0,0,normal
2026-05-14 15:38:26,0,2.5,0,0,normal
2026-05-14 15:38:34,0,2.5,0,0,normal
2026-05-14 15:38:41,0,2.5,0,0,normal
2026-05-14 15:38:48,0,2.5,0,0,normal
2026-05-14 15:38:55,0,2.5,0,0,normal
2026-05-14 15:38:55,0,2.5,0,0,normal
2026-05-14 15:39:03,0,2.5,0,0,normal
2026-05-14 15:39:04,0,2.5,0,0,normal
2026-05-14 15:39:10,0,2.5,0,0,normal
2026-05-14 15:39:12,0,2.5,0,0,normal
2026-05-14 15:39:17,0,2.5,0,0,normal
2026-05-14 15:39:20,0,2.5,0,0,normal
2026-05-14 15:39:24,0,2.5,0,0,normal
2026-05-14 15:39:29,0,2.5,0,0,normal
2026-05-14 15:39:31,0,2.5,0,0,normal
2026-05-14 15:39:38,0,2.5,0,0,normal
2026-05-14 15:39:38,0,2.5,0,0,normal
2026-05-14 15:39:45,0,2.5,0,0,normal
2026-05-14 15:39:46,0,2.5,0,0,normal
2026-05-14 15:39:53,0,2.5,0,0,normal
2026-05-14 15:39:55,0,2.5,0,0,normal
2026-05-14 15:40:00,0,2.5,0,0,normal
2026-05-14 15:40:03,0,2.5,0,0,normal
2026-05-14 15:40:07,0,2.5,0,0,normal
2026-05-14 15:40:12,0,2.5,0,0,normal
2026-05-14 15:40:15,0,2.5,0,0,normal
2026-05-14 15:40:21,0,2.5,0,0,normal
2026-05-14 15:40:24,0,2.5,0,0,normal
2026-05-14 15:40:31,0,2.5,0,0,normal
2026-05-14 15:40:32,0,2.5,0,0,normal
2026-05-14 15:40:39,0,2.5,0,0,normal
