Timestamp,Latitude,Longitude,Flow_Sensor_1_Lmin,Flow_Sensor_2_Lmin,Flow_Rate,Temperature_C,Pressure_bar,Gas_Sensor_MQ6_ppm,Leak_Status
2026-04-08 14:56:45,28.6139,77.209,509.45,508.06,508.75,25.18,10.01,4.58,0
2026-04-08 14:56:46,28.613905,77.209005,495.94,501.13,498.54,25.43,10.03,5.04,0
2026-04-08 14:56:47,28.61391,77.20901,505.11,505.78,505.45,25.26,9.91,4.2,0
2026-04-08 14:56:48,28.613915,77.209015,503.77,496.4,500.09,25.21,10.07,5.85,0
2026-04-08 14:56:49,28.61392,77.20902,505.43,509.66,507.55,24.75,9.96,4.9,0
2026-04-08 14:56:50,28.613925,77.209025,496.3,503.57,499.94,24.92,9.91,5.34,0
2026-04-08 14:56:51,28.61393,77.20903,491.16,494.27,492.71,24.58,10.04,5.76,0
2026-04-08 14:56:52,28.613935,77.209035,506.9,502.87,504.88,24.99,9.97,4.93,0
2026-04-08 14:56:53,28.61394,77.20904,493.27,493.73,493.5,24.93,9.95,5.25,0
2026-04-08 14:56:54,28.613945,77.209045,500.52,507.74,504.13,25.11,10.06,5.01,0
2026-04-08 14:56:55,28.61395,77.20905,495.71,493.7,494.7,24.89,9.98,5.7,0
2026-04-08 14:56:56,28.613955,77.209055,494.71,505.31,500.01,25.44,9.94,4.34,0
2026-04-08 14:56:57,28.61396,77.20906,501.69,507.46,504.58,24.91,10.05,5.98,0
2026-04-08 14:56:58,28.613965,77.209065,508.26,501.25,504.75,25.27,9.95,5.37,0
2026-04-08 14:56:59,28.61397,77.20907,497.4,508.88,503.14,24.86,9.93,5.66,0
2026-04-08 14:57:00,28.613975,77.209075,496.08,500.99,498.53,24.78,10.03,4.8,0
2026-04-08 14:57:01,28.61398,77.20908,507.91,506.36,507.14,24.52,10.0,4.89,0
2026-04-08 14:57:02,28.613985,77.209085,495.01,507.91,501.46,25.32,9.9,5.18,0
2026-04-08 14:57:03,28.61399,77.20909,490.05,490.75,490.4,25.19,10.0,5.93,0
2026-04-08 14:57:04,28.613995,77.209095,507.77,496.9,502.34,25.13,10.01,4.71,0
2026-04-08 14:57:05,28.614,77.2091,493.22,503.64,498.43,24.52,10.07,4.53,0
2026-04-08 14:57:06,28.614005,77.209105,494.08,506.95,500.51,24.75,10.04,4.76,0
2026-04-08 14:57:07,28.61401,77.20911,495.76,506.98,501.37,25.49,10.03,4.41,0
2026-04-08 14:57:08,28.614015,77.209115,500.38,498.97,499.68,24.77,10.09,5.72,0
2026-04-08 14:57:09,28.61402,77.20912,503.04,509.57,506.31,25.08,10.01,5.49,0
2026-04-08 14:57:10,28.614025,77.209125,497.51,508.72,503.12,24.5,9.98,5.94,0
2026-04-08 14:57:11,28.61403,77.20913,505.97,509.7,507.84,25.43,10.01,5.49,0
2026-04-08 14:57:12,28.614035,77.209135,490.28,491.56,490.92,25.19,10.05,5.89,0
2026-04-08 14:57:13,28.61404,77.20914,492.93,501.11,497.02,25.12,10.02,4.53,0
2026-04-08 14:57:14,28.614045,77.209145,505.92,499.68,502.8,24.84,9.99,5.32,0
2026-04-08 14:57:15,28.61405,77.20915,490.62,493.93,492.28,25.14,9.94,4.72,0
2026-04-08 14:57:16,28.614055,77.209155,491.64,502.22,496.93,24.64,9.91,4.15,0
2026-04-08 14:57:17,28.61406,77.20916,495.61,507.21,501.41,24.5,9.99,4.41,0
2026-04-08 14:57:18,28.614065,77.209165,506.9,502.18,504.54,25.15,9.9,5.45,0
2026-04-08 14:57:19,28.61407,77.20917,499.56,490.02,494.79,24.86,10.07,4.45,0
2026-04-08 14:57:20,28.614075,77.209175,500.7,499.38,500.04,24.56,10.05,4.52,0
2026-04-08 14:57:21,28.61408,77.20918,505.34,490.39,497.86,25.13,9.92,4.21,0
2026-04-08 14:57:22,28.614085,77.209185,504.09,493.15,498.62,25.22,10.01,4.5,0
2026-04-08 14:57:23,28.61409,77.20919,498.0,502.43,500.21,24.72,10.0,4.2,0
2026-04-08 14:57:24,28.614095,77.209195,497.54,493.18,495.36,24.64,10.05,5.36,0
2026-04-08 14:57:25,28.6141,77.2092,508.93,492.05,500.49,25.48,9.98,5.46,0
